step,loss_vanilla,loss_catalog,commit_pct,overflow_pct,abort_pct,usage_entropy_bits,distinct_features
0,9.0111,9.0111,62.6,37.4,0.0,3.2,1425.0
1,,,25.9,74.1,0.0,2.56,357.0
2,,,20.6,79.4,0.0,2.4,1298.0
3,,,16.1,83.9,0.0,1.58,863.0
4,,,15.0,85.0,0.0,1.11,455.0
25,6.1107,6.1066,,,,,
50,5.5418,5.5209,13.2,86.8,0.0,5.04,163.0
75,5.6021,5.6226,,,,,
100,5.2118,5.3585,13.3,86.7,0.0,6.12,570.0
125,5.2852,5.5658,,,,,
150,4.8767,5.2735,13.1,86.9,0.0,7.37,1192.0
175,4.8912,5.3364,,,,,
200,4.6352,5.1814,13.3,86.7,0.0,8.39,1779.0
225,4.6406,5.3189,,,,,
250,4.5235,5.1068,13.4,86.6,0.0,8.82,2197.0
275,4.1642,5.0337,,,,,
300,3.8365,4.9676,13.6,86.4,0.0,8.89,2658.0
325,4.1542,4.9913,,,,,
350,4.0471,5.0151,14.0,86.0,0.0,9.03,3062.0
375,3.8251,4.8386,,,,,
399,3.4142,4.6666,,,,,
